dokument,phase,run_id,run_ts,invoice_idx,quality,commodity,prompt_language,prompt_strategy,model,model_label,prompt_tokens,completion_tokens,total_tokens,latency_ms,tp,fp,fn,precision,recall,f1,null_rate,gt_present,cost_usd,cost_czk,api_error
053973a96f,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,2,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,9195,110,9305,1395.9214687347412,5,6,0,0.4545454545454545,1.0,0.625,0.0,11,0.003854,0.090569,
053973a96f,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,2,Q1,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,9195,106,9301,1323.2474327087402,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.0,11,0.0240475,0.56511625,
053973a96f,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,2,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,9195,106,9301,992.8379058837892,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.0,11,0.0240475,0.56511625,
053973a96f,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,2,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,9195,106,9301,1199.3615627288818,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.0,11,0.019238,0.452093,
053973a96f,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,2,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,9195,106,9301,1397.110939025879,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.0,11,0.019238,0.452093,
e5912e5852,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,3,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,8920,129,9049,1351.8061637878418,3,8,0,0.2727272727272727,1.0,0.4285714285714285,0.0,11,0.0009436,0.0221746,
e5912e5852,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,3,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,8920,108,9028,5091.5820598602295,2,9,0,0.1818181818181818,1.0,0.3076923076923077,0.0,11,0.0014028,0.0329658,
e5912e5852,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,3,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,8920,103,9023,1331.1686515808103,3,7,1,0.3,0.75,0.4285714285714285,0.0909090909090909,11,0.0037328,0.0877208,
e5912e5852,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,3,Q1,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,8920,108,9028,1519.9036598205566,3,8,0,0.2727272727272727,1.0,0.4285714285714285,0.0,11,0.02338,0.5494300000000001,
e5912e5852,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,3,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,8920,108,9028,974.4260311126708,3,8,0,0.2727272727272727,1.0,0.4285714285714285,0.0,11,0.02338,0.5494300000000001,
