commodity,lv
elektrina_nn,2794.0110473632812
elektrina_nn,1910.2153564453124
elektrina_nn,3017.244127790133
elektrina_nn,3240.6548665364585
elektrina_nn,3982.420893828074
elektrina_nn,6181.7000732421875
elektrina_nn,5418.49462890625
elektrina_nn,2835.4540100097656
elektrina_nn,2503.1009521484375
elektrina_nn,1891.1394410530727
elektrina_nn,2484.6827880859373
elektrina_nn,4202.4206949869795
elektrina_nn,3654.7008514304957
elektrina_nn,3722.9420166015625
elektrina_nn,2259.7470703125
elektrina_nn,5826.259602864583
elektrina_nn,3249.2248046875
elektrina_nn,2451.676467895508
elektrina_nn,1329.2968717876233
elektrina_nn,4513.5621337890625
elektrina_nn,2061.873077392578
elektrina_nn,2733.0027544498444
elektrina_nn,3569.5027699247003
elektrina_nn,3739.9949118196964
elektrina_nn,2803.4895517005352
elektrina_nn,2589.6482666015627
elektrina_nn,3376.6984871228537
elektrina_nn,3885.4359375
elektrina_nn,4845.22802734375
elektrina_nn,2107.6800537109375
elektrina_nn,4727.3388671875
elektrina_nn,2174.5169921875
elektrina_nn,1302.9677978515624
elektrina_nn,2627.8018493652344
elektrina_nn,3025.8944702148438
elektrina_nn,6681.5008544921875
elektrina_nn,2514.8232421875
elektrina_nn,1572.1592301428318
elektrina_nn,1513.471435546875
elektrina_nn,8566.341430664062
elektrina_nn,1957.3772705078125
elektrina_nn,1597.43193359375
elektrina_nn,3364.24052734375
elektrina_nn,2056.220556640625
elektrina_nn,1805.950468023618
elektrina_nn,2380.0835693359377
elektrina_nn,1640.9522094726562
elektrina_nn,3009.8012451171876
elektrina_nn,3750.7025756835938
elektrina_nn,1939.7093505859375
elektrina_vn,1725.5531616210938
elektrina_vn,3912.008544921875
elektrina_vn,6606.8466796875
elektrina_vn,6709.44189453125
elektrina_vn,1874.4197998046875
elektrina_vn,6826.5185546875
elektrina_vn,2152.0188598632812
elektrina_vn,4035.27880859375
elektrina_vn,1958.5537109375
elektrina_vn,4331.4287109375
elektrina_vn,3959.59521484375
elektrina_vn,6747.21484375
elektrina_vn,6544.84423828125
elektrina_vn,3991.741943359375
elektrina_vn,1835.3677368164062
elektrina_vn,4672.0986328125
elektrina_vn,2170.7160034179688
elektrina_vn,1905.3800659179688
elektrina_vn,4671.855560302734
elektrina_vn,2112.9902954101562
elektrina_vn,6759.52880859375
elektrina_vn,3941.548583984375
elektrina_vn,2359.3251342773438
elektrina_vn,2093.2767333984375
elektrina_vn,2094.3082275390625
elektrina_vn,2341.2249755859375
elektrina_vn,6723.070068359375
elektrina_vn,3872.712158203125
elektrina_vn,2227.171875
elektrina_vn,1832.5836181640625
elektrina_vn,6953.317138671875
elektrina_vn,3922.79638671875
elektrina_vn,3873.156005859375
elektrina_vn,1804.4491577148438
elektrina_vn,1830.651611328125
elektrina_vn,6736.101806640625
elektrina_vn,4389.929016113281
elektrina_vn,2051.7655639648438
elektrina_vn,1953.6031494140625
elektrina_vn,6578.2275390625
elektrina_vn,3963.290771484375
elektrina_vn,7287.110085227273
elektrina_vn,1850.628173828125
elektrina_vn,3821.907958984375
elektrina_vn,4546.3282470703125
elektrina_vn,2200.6128540039062
elektrina_vn,1799.4852905273438
elektrina_vn,6960.330810546875
elektrina_vn,2371.7149658203125
elektrina_vn,4198.69873046875
plyn_mo,4000.595412095388
plyn_mo,4940.143541415532
plyn_mo,5401.7618408203125
plyn_mo,1052.3470092773437
plyn_mo,4717.569956461589
plyn_mo,2871.1370692253113
plyn_mo,4101.65302734375
plyn_mo,5973.63193359375
plyn_mo,5201.9259765625
plyn_mo,5193.151646205357
plyn_mo,5669.883626302083
plyn_mo,3946.004931640625
plyn_mo,3957.3351312478385
plyn_mo,5944.1802734375
plyn_mo,5670.7431640625
plyn_mo,6761.4138107299805
plyn_mo,6331.7366282145185
plyn_mo,3202.5565673828123
plyn_mo,2987.9260009765626
plyn_mo,3931.944808959961
plyn_mo,4701.961176633835
plyn_mo,3552.5595235824585
plyn_mo,6680.01242574056
plyn_mo,2613.340869140625
plyn_mo,6392.018994140625
plyn_mo,1197.964828491211
plyn_mo,3534.528261343638
plyn_mo,2899.3983154296875
plyn_mo,2550.3035583496094
plyn_mo,4720.343408203125
plyn_mo,4164.611761569977
plyn_mo,3835.9770406881967
plyn_mo,3004.4500551223755
plyn_mo,5069.240576171875
plyn_mo,2957.5047607421875
plyn_mo,3681.40556640625
plyn_mo,4909.939453125
plyn_mo,4720.688077131907
plyn_mo,2782.9462463061013
plyn_mo,3834.093236923218
plyn_mo,736.4298782348633
plyn_mo,2290.7967529296875
plyn_mo,7137.9263671875
plyn_mo,7424.3216552734375
plyn_mo,2817.92236328125
plyn_mo,2417.0471700032554
plyn_mo,4784.230041503906
plyn_mo,6891.276123046875
plyn_mo,3845.5308349609377
plyn_mo,5653.79853515625
plyn_vo,8623.120930989584
plyn_vo,7073.433410644531
plyn_vo,8128.643310546875
plyn_vo,9350.0341796875
plyn_vo,7033.292175292969
plyn_vo,4670.671173095703
plyn_vo,9150.287760416666
plyn_vo,6158.551513671875
plyn_vo,7644.883117675781
plyn_vo,4867.709533691406
plyn_vo,4300.1651611328125
plyn_vo,7685.846252441406
plyn_vo,8266.01025390625
plyn_vo,6546.869140625
plyn_vo,3764.79345703125
plyn_vo,4553.570571899414
plyn_vo,1273.4699096679688
plyn_vo,6199.929361979167
plyn_vo,3699.560760498047
plyn_vo,7735.468424479167
plyn_vo,7385.8798828125
plyn_vo,5256.218505859375
plyn_vo,6986.164855957031
plyn_vo,4880.0313720703125
plyn_vo,7717.581380208333
plyn_vo,2714.948760986328
plyn_vo,7371.73193359375
plyn_vo,6015.35009765625
plyn_vo,6546.869140625
plyn_vo,5725.062072753906
plyn_vo,4783.2796748280525
plyn_vo,4424.9036865234375
plyn_vo,7061.278869628906
plyn_vo,7192.83203125
plyn_vo,8414.39794921875
plyn_vo,7058.0108642578125
plyn_vo,5406.759826660156
plyn_vo,3353.0396904970207
plyn_vo,7256.079915364583
plyn_vo,8966.224934895834
plyn_vo,3971.54931640625
plyn_vo,7617.095865885417
plyn_vo,9376.8447265625
plyn_vo,5795.417236328125
plyn_vo,5916.938659667969
plyn_vo,5172.029144287109
plyn_vo,6332.969401041667
plyn_vo,4782.375518798828
plyn_vo,6694.741048177083
plyn_vo,8334.973876953125
teplo,3091.606708586216
teplo,8192.6787109375
teplo,3605.768753051758
teplo,3483.924072265625
teplo,2384.55313873291
teplo,6212.173583984375
teplo,2385.742472330729
teplo,1135.5846069335937
teplo,2302.674560546875
teplo,6326.682373046875
teplo,2468.9007110595703
teplo,7555.582275390625
teplo,6695.515869140625
teplo,5230.378031412761
teplo,3317.5605265299478
teplo,5811.60546875
teplo,2044.798210144043
teplo,5303.898111979167
teplo,4101.228363037109
teplo,6212.037353515625
teplo,3660.342041015625
teplo,2758.8019596536956
teplo,1811.6249389648438
teplo,6982.259033203125
teplo,1895.59708015124
teplo,1583.3710021972656
teplo,6596.645263671875
teplo,3760.9365234375
teplo,7548.7509765625
teplo,4265.8037109375
teplo,4684.6278076171875
teplo,3072.361640930176
teplo,6431.550048828125
teplo,1742.1639607747395
teplo,4971.277145385742
teplo,6308.5478515625
teplo,2955.1404622395835
teplo,4362.2763671875
teplo,2057.8489278157554
teplo,2287.4586486816406
teplo,1946.339990234375
teplo,6367.8388671875
teplo,1941.8693969726562
teplo,6614.2314453125
teplo,6541.9912109375
teplo,3765.00634765625
teplo,2067.921038818359
teplo,4152.6894938151045
teplo,2372.8320388793945
teplo,6303.593017578125
voda,1969.604756673177
voda,3404.137166341146
voda,2618.68017578125
voda,7892.477751215299
voda,2069.4027671813965
voda,2978.89453125
voda,4920.93994140625
voda,4998.598795572917
voda,3187.059814453125
voda,6852.753773082386
voda,3430.845483779907
voda,1903.935090303421
voda,3106.2141065597534
voda,3934.7997436523438
voda,2263.4053115844727
voda,4623.828938802083
voda,5925.0430908203125
voda,1463.2421264648438
voda,3969.0762939453125
voda,1465.688458442688
voda,5511.725830078125
voda,3114.923843383789
voda,2354.8059873580933
voda,3548.8255615234375
voda,2842.0041494369507
voda,4590.916015625
voda,4129.887451171875
voda,3654.8238525390625
voda,12530.3486328125
voda,2390.6093645095825
voda,2572.465003967285
voda,2348.827194929123
voda,3850.857666015625
voda,4215.0302734375
voda,4972.720458984375
voda,2694.9972534179688
voda,2254.341796875
voda,2693.7952156066895
voda,4614.0341796875
voda,2735.31640625
voda,4793.844156901042
voda,3358.5853271484375
voda,3412.86962890625
voda,5874.023762385051
